text,intent
"For a value investor, is it better to look at Johnson & Johnson or Pfizer?",compare
compare the financial health of Delta and United Airlines,compare
"Which tech giant has shown more growth this year, Amazon or Alphabet?",compare
"I'm considering an investment, which is riskier: small-cap stocks or blue-chip stocks?",compare
How does Exxon Mobil's dividend history compare with Chevron's?,compare
"Which company is larger, Walmart or Costco?",compare
lets see a side-by-side of intel and amd's last quarterly reports,compare
Growth stocks or dividend stocks for a younger investor?,compare
Compare the debt levels of the major US airlines.,compare
"Between Netflix and Disney, who has more subscribers?",compare
"which is a safer investment, a government bond or a corporate bond?",compare
How do the expense ratios of VOO and SPY compare?,compare
Home Depot or Lowe's? Which is a better buy right now?,compare
Show me the difference in performance between value and growth ETFs.,compare
"which company has a stronger balance sheet, procter & gamble or unilever?",compare
let's compare the cash flow of apple and samsung,compare
What's the better performer in the EV space besides Tesla? Rivian or Lucid?,compare
Can you contrast the business models of Visa and Mastercard?,compare
I want to compare the analyst ratings for Bank of America and JPMorgan Chase.,compare
How does the innovation pipeline of Moderna compare to Pfizer's?,compare
"ETFs vs mutual funds, what are the pros and cons?",compare
"Which has a lower beta, a utility stock or a tech stock?",compare
Contrast the market strategies of Target and Walmart.,compare
"which is outperforming the other, gold or bitcoin?",compare
What are the main differences between the Dow Jones and the Nasdaq Composite?,compare
Let's put up Boeing against Airbus on their order backlogs.,compare
I'm trying to decide between investing in individual stocks or just an index fund. What's the general advice?,compare
how does nvidia's forward P/E stack up against its competitors?,compare
Is there a big difference in the dividends from Royal Dutch Shell and BP?,compare
compare the 1-year and 5-year returns for MSFT,compare
"Which semiconductor company has a better outlook, TSMC or Intel?",compare
How do the ROE figures for Nike and Adidas match up?,compare
What's the best performing stock in the Dow this year?,compare
"Let's see who is winning the cloud war: AWS, Azure, or Google Cloud.",compare
Can you show me who has the higher profit margin between McDonald's and Starbucks?,compare
"Which is a more cyclical industry, automotive or healthcare?",compare
Shopify versus Amazon for e-commerce platform dominance.,compare
how does the performance of my portfolio compare to the s&p 500 benchmark?,compare
"In terms of market share, how does AMD compare to Nvidia in the GPU market?",compare
what is the main distinction between common stock and preferred stock,compare
Do you think Tesla will hit $300 a share this year?,predict
What's the stock market forecast for the next quarter?,predict
Is it a good time to buy Amazon stock right now?,predict
Should I sell my shares in META?,predict
What is the future outlook for the semiconductor industry?,predict
can you predict apple's stock price for next month?,predict
Will the Federal Reserve raise interest rates at the next meeting?,predict
What do analysts think about NVIDIA's future growth?,predict
Is an economic recession likely in the coming year?,predict
what are the price targets for microsoft stock?,predict
Will the housing market cool down soon?,predict
How will the election results likely affect the stock market?,predict
Is investing in airline stocks a good idea given the current fuel prices?,predict
What is the long-term potential for artificial intelligence stocks?,predict
what are the chances of the s&p 500 reaching 5000 by year end?,predict
Do you foresee a stock market correction happening soon?,predict
Will small-cap stocks outperform large-cap stocks next year?,predict
"I have some cash to invest, should I buy into the market now or wait?",predict
What's the next big tech trend I should be watching?,predict
will inflation continue to be a problem for the rest of the year?,predict
Can you forecast the earnings per share for Netflix's next report?,predict
What will happen to oil prices if the conflict in the Middle East escalates?,predict
is it too late to get into cryptocurrency?,predict
Which sectors do you think will perform best in a high-interest-rate environment?,predict
What's your projection for Ford's EV sales in the next two years?,predict
Will Disney+ be able to catch up to Netflix in the streaming wars?,predict
Are bank stocks a safe bet for the foreseeable future?,predict
What's the upside potential for Palantir stock?,predict
should i be worried about my 401k's performance?,predict
predict the movement of the vix index this week,predict
What do you think will be the impact of the new iPhone launch on Apple's stock?,predict
is there a bubble in the AI stock market?,predict
Will Johnson & Johnson's legal troubles impact its stock price significantly?,predict
"I'm thinking of buying Boeing, do you think it has bottomed out?",predict
What is the growth forecast for the renewable energy sector?,predict
Do you expect a turnaround for stocks that have been beaten down this year?,predict
What will be the most valuable company in the world in 10 years?,predict
how high can nvidia stock go?,predict
"Given the supply chain issues, what is the outlook for retail companies?",predict
is it a wise decision to invest in Chinese tech stocks right now?,predict
Can we expect more IPOs in the second half of the year?,predict
Will value stocks finally make a comeback against growth stocks?,predict
What are the future headwinds for the pharmaceutical industry?,predict
"I'm retiring in 5 years, should I be moving my assets into safer investments?",predict
Forecast the future of work and its impact on commercial real estate stocks.,predict
do you see tesla's dominance in the ev market being challenged soon?,predict
What are the chances of another dot-com-like bubble burst?,predict
What's the outlook for international markets versus the US market?,predict
how will advances in quantum computing affect semiconductor stocks?,predict
tell me today's DOW price,shows_info
amd price now,shows_info
latest on berkshire hathaway,shows_info
intel financials please,shows_info
What's the situation with the VIX?,shows_info
Give me the numbers for MSFT's last quarter.,shows_info
What's the deal with Palantir's stock?,shows_info
Find me the stock history for GM over 5 years,shows_info
How is the Nikkei 225 doing?,shows_info
Info on the SPDR Gold Trust ETF (GLD),shows_info
what is the market sentiment today,shows_info
Who are the top holders of Apple stock?,shows_info
What was the dividend paid by Verizon last time?,shows_info
Look up the latest analyst recommendations for CRM.,shows_info
I need a breakdown of revenue by segment for Disney.,shows_info
When is the next earnings call for Amazon?,shows_info
Find the most recent 10-K filing for Ford.,shows_info
How much cash on hand does Google have?,shows_info
What is the price-to-book ratio for JPMorgan Chase?,shows_info
Show me the institutional ownership percentage for Moderna.,shows_info
What's the stock split history for Apple?,shows_info
i wanna see the financial highlights for visa,shows_info
List the subsidiaries of Johnson & Johnson.,shows_info
How many employees does Microsoft have?,shows_info
I need the all-time high for Bitcoin.,shows_info
What are the current liabilities for Boeing?,shows_info
Show me the insider trading activity for Tesla.,shows_info
Give me the key metrics for AT&T.,shows_info
what are the key support and resistance levels for SPY,shows_info
What's the beta for Netflix?,shows_info
Is Shopify profitable?,shows_info
Tell me about the market share of AMD in the server market.,shows_info
What's the status on that new Intel factory?,shows_info
Recent news that could affect semiconductor stocks?,shows_info
I want to know about Starbucks' international presence.,shows_info
Can you pull up a candlestick chart for QQQ for the past month?,shows_info
what's the current yield on a 10-year treasury note,shows_info
find me info about BlackRock,shows_info
who is on the executive team at nvidia?,shows_info
General summary of what General Motors does.,shows_info
Show me the put/call ratio for Apple.,shows_info
Current rating for Chevron stock.,shows_info
What is the average daily trading volume for NIO?,shows_info
What's the P/S ratio for Salesforce?,shows_info
tell me the short float for gamestop,shows_info
Get me a quote for crude oil prices.,shows_info
I need info on the Schwab Total Stock Market Index (SWTSX).,shows_info
Let's see the historical EPS for Facebook.,shows_info
When was Oracle founded?,shows_info
calculate what 50 shares of ford are worth right now,calculate
"If I have a portfolio of 60% VOO and 40% QQQ, what is my blended expense ratio?",calculate
"How much profit would I have made from buying $2,000 of META on Jan 1st of last year?",calculate
Calculate my loss on 100 shares of PTON bought at $120 and sold at $10.,calculate
what's the dividend i would get for 500 shares of T?,calculate
"Figure out the compound interest on a $10,000 investment with an 8% annual return over 10 years.",calculate
What is the total market value of my 15 AMZN and 30 GOOGL shares?,calculate
Can you calculate the cost to acquire 1000 shares of AMD?,calculate
"if my stock went up from 50 to 52, what is the percentage return?",calculate
work out the change in my portfolio value from yesterday to today,calculate
What's my breakeven point on a stock I bought for $175 if I paid a $7 commission?,calculate
Please calculate the total capital gain on my AAPL stock sold today.,calculate
How do you figure out the free cash flow of a company?,calculate
Tell me the return on equity for Microsoft using its latest balance sheet and income statement.,calculate
"If I invested a lump sum of $50,000 five years ago in the Nasdaq 100, what's it worth now?",calculate
What is the result of a 5% drop on a $150 stock?,calculate
can you get the 100-day moving average for Chevron,calculate
Find the difference between Apple's 52-week high and low.,calculate
what's the amount I'd get back if i sold 20 shares of nvidia at 450,calculate
How much would I need to invest to get $1000 in annual dividends from a stock yielding 4%?,calculate
Calculate the growth of a $100 monthly investment over 5 years at a 7% annual rate.,calculate
What is my average cost per share if I bought 10 at $100 and 20 at $120?,calculate
find the performance of a 50/50 portfolio of stocks and bonds this year,calculate
"If I want to make a $5,000 profit on a stock I own, what price does it need to hit?",calculate
what is the new price of a $200 stock after a 2-for-1 split,calculate
Calculate the PEG ratio for Google.,calculate
How much have I paid in total commissions if I've made 50 trades at $4.95 each?,calculate
What's the value of 100 SPY shares?,calculate
compute the total interest earned on a 5 year bond with a 3% coupon,calculate
Can you run the numbers for the ROI on buying a house and renting it out?,calculate
figure out the year-over-year revenue growth for amazon,calculate
"What's the amount of tax I would owe on a $10,000 short-term capital gain?",calculate
calculate the value of my employee stock options,calculate
"If I want my portfolio to grow to $1,000,000 in 20 years, what annual return do I need?",calculate
what is the effect of a 0.25% expense ratio on a $100k investment over 30 years?,calculate
tell me the value of my portfolio if SPY goes up by 2% today,calculate
What would my loss be on shorting 50 shares of TSLA if it goes up by $30?,calculate
how many years to double my money at a 6% annual return?,calculate
Calculate the Treynor ratio for my investment.,calculate
what is the yield on my portfolio of dividend stocks,calculate
tell me my unrealized gain/loss for my GOOG position,calculate
compute the intrinsic value of a stock using a discounted cash flow model,calculate
What's the percentage of my portfolio in tech stocks?,calculate
"If inflation is 3%, what is the real return on an investment that gained 7%?",calculate
calculate my total assets in my brokerage account,calculate
"work out the monthly payment on a $300,000 loan",calculate
what is the total of 15 aapl shares right now,calculate
find my total dividend income for the last quarter,calculate
Starbucks or Dunkin for stock growth?,compare
Show me how Ford and GM's stock have performed against each other over the past decade.,compare
"Which has a more attractive valuation right now, Intel or AMD?",compare
Visa vs. Mastercard: who has the better profit margin?,compare
I want to compare the dividend safety of AT&T and Verizon.,compare
"which is a better hedge against inflation, gold or real estate?",compare
"In terms of EV sales, how does Volkswagen Group compare to Tesla?",compare
Put the top 3 cloud providers side-by-side in terms of revenue growth.,compare
How does the risk profile of an emerging market ETF compare to a developed market ETF?,compare
Let's see a comparison of the key financial ratios for Nike and Lululemon.,compare
"who has a bigger moat, Coca-Cola or Apple?",compare
"In a portfolio, which provides more diversification: adding gold or adding international stocks?",compare
"Which streaming service is growing faster, Disney+ or HBO Max?",compare
Compare the user growth of Facebook (Meta) and Snapchat.,compare
"Which car company has a higher debt load, Ford or Toyota?",compare
How does Costco's business model differ from Sam's Club (Walmart)?,compare
compare the long term performance of BRK.A and the S&P 500,compare
What are the differences in the holdings of the DIA and SPY ETFs?,compare
"who's leading in the AI chip space, nvidia or google?",compare
Show me the pros and cons of Roth vs Traditional IRA.,compare
"Which energy stock is a better investment, Exxon or Chevron?",compare
How do the fundamentals of Bank of America and Wells Fargo stack up?,compare
let's put pfizer up against merck for r&d spending,compare
Which of these has a better dividend growth history: Procter & Gamble or Johnson & Johnson?,compare
Compare the online ad revenue of Google and Facebook.,compare
Is it cheaper to own a target date fund or build my own portfolio of ETFs?,compare
"Which stock shows better momentum, Apple or Microsoft?",compare
what is the difference in returns between a growth strategy and a value strategy this year?,compare
CVS Health versus Walgreens Boots Alliance as a long-term hold.,compare
"In the cybersecurity space, how does CrowdStrike compare to Palo Alto Networks?",compare
"Which has seen better recovery post-pandemic, airline stocks or cruise line stocks?",compare
contrast the brand strength of mcdonalds and starbucks,compare
How does the US stock market's performance compare to Europe's this year?,compare
Compare the return on assets for Lowe's and Home Depot.,compare
Which investment is more tax-efficient for me?,compare
"in terms of volume, who sells more trucks, Ford or GM?",compare
Show me which company is more leveraged: Boeing or Airbus.,compare
Compare the price-to-sales ratio for Salesforce and Adobe.,compare
"Which index is more tech-heavy, Nasdaq 100 or S&P 500?",compare
Is an active fund manager likely to beat the market?,compare
Let's check the sentiment analysis for Twitter vs Meta.,compare
How does the management team of company X compare to company Y?,compare
what's the best performing sector in the market this month?,compare
what is a more stable industry telecom or consumer staples?,compare
"Who has more cash on their balance sheet, Apple or Google?",compare
Amazon vs Shopify for a small business e-commerce platform.,compare
let's see a competitive analysis of the video game industry,compare
Can we expect the stock market to keep going up?,predict
What's the prediction for Google's stock split impact?,predict
Do you think I should buy the dip on this stock?,predict
Is now a smart time to be selling my tech portfolio?,predict
what do you think about the future of green energy stocks?,predict
Can you give me a reasonable price forecast for Amazon by the end of the year?,predict
what will be the market's reaction to the latest inflation report?,predict
Are we heading towards a bear market?,predict
What are the odds of a soft landing for the economy?,predict
do you see apple reaching a 4 trillion dollar market cap?,predict
"I'm afraid of a market crash, should I pull my money out?",predict
Will travel stocks continue to recover?,predict
What will be the effect of AI on the job market and the economy?,predict
How much further can oil prices go up?,predict
what is the sentiment on crypto for the rest of the year?,predict
"If I hold this stock for 10 years, what can I realistically expect?",predict
What's the next catalyst that will move the market?,predict
Is my retirement savings on track?,predict
Forecast for the housing market over the next 5 years.,predict
do you believe this company will beat earnings expectations?,predict
What's the future for companies like Zoom and Peloton post-pandemic?,predict
Will the global supply chain issues resolve next year?,predict
Can we anticipate a rally in the bond market?,predict
Is it probable that Amazon will announce another stock split?,predict
What are the growth prospects for the cybersecurity sector?,predict
Are we in for a period of stagflation?,predict
what do you think will be the best performing asset class next year?,predict
"I have $10k to invest for my child's future, where should I put it?",predict
Should I be concerned about the national debt's impact on my investments?,predict
Where do you see the price of gold in one year?,predict
What could derail this bull market?,predict
what are the chances that my stock will recover its losses?,predict
Do you foresee any regulatory changes that could impact big tech companies?,predict
Is there potential for a short squeeze in this stock?,predict
What do you think is the fair value of this company's stock?,predict
How long do you think this market volatility will last?,predict
Is my aggressive growth strategy too risky for the current market?,predict
what do you predict will be the 'next big thing' in technology?,predict
How will rising wages affect corporate profits and stock prices?,predict
Will there be a shift from growth to value investing?,predict
Are dividend stocks a good bet in an inflationary period?,predict
Will the chip shortage end soon?,predict
what's the chance of this pharma company getting its new drug approved?,predict
What does the yield curve inversion mean for the economy?,predict
Will the shift to EVs actually hurt legacy automakers?,predict
Are we going to see a recession?,predict
should i invest now or wait for a dip?,predict
Find me the latest 10-K filing for Amazon.,shows_info
Give me a summary of General Motors' business operations.,shows_info
The stock chart for gold over the past year is what I need.,shows_info
Let's see the historical data for the VIX.,shows_info
Pull up the institutional ownership data for Palantir.,shows_info
I'm curious about the current debt-to-equity ratio of Ford.,shows_info
Could you please find the ex-dividend date for Verizon?,shows_info
List the main competitors for NVIDIA.,shows_info
Who are the key executives at Berkshire Hathaway?,shows_info
"Details on the most recent stock split for Apple, please.",shows_info
Get the price history for crude oil in 2023.,shows_info
A breakdown of Disney's revenue by segment would be great.,shows_info
Has there been any significant insider selling at Tesla?,shows_info
Information about the iShares Russell 2000 ETF's holdings.,shows_info
Tell me something about the market capitalization of Microsoft.,shows_info
I want to know the founding date of Intel.,shows_info
What is the ticker symbol for Caterpillar Inc.?,shows_info
Latest news regarding the global semiconductor industry?,shows_info
Can you display the key financials for Costco?,shows_info
How many outstanding shares does GameStop have?,shows_info
Provide the analyst consensus rating for Pfizer.,shows_info
The current price of a share of Home Depot.,shows_info
A list of the board members for Johnson & Johnson.,shows_info
"For META, what was its IPO price?",shows_info
Daily trading volume for Bitcoin today?,shows_info
Show me the CUSIP number for IBM.,shows_info
Tell me the short interest percentage for AMC.,shows_info
Looking for data on the Vanguard S&P 500 ETF (VOO).,shows_info
Recent press releases from The Boeing Company.,shows_info
Who are the largest institutional holders of Moderna stock?,shows_info
Provide the beta for the SPDR S&P 500 ETF (SPY).,shows_info
Need to see the open interest for Alphabet's options.,shows_info
Just the facts on Procter & Gamble's performance.,shows_info
The 52-week high and low for AMD is what I'm looking for.,shows_info
Salesforce's enterprise value is currently what?,shows_info
Adobe is a component of which major stock index?,shows_info
Please give me an update on what's happening with AT&T.,shows_info
Show me some information about Nike's dividend yield.,shows_info
A chart of the Dow Jones Industrial Average for today.,shows_info
Let me know about any recent news affecting Chevron.,shows_info
The most recent quarterly earnings report for Netflix.,shows_info
I require the debt level for Exxon Mobil.,shows_info
Get the summary of McDonald's business model.,shows_info
Who sits on the board of Walmart?,shows_info
Find details about the dividend history of Coca-Cola.,shows_info
Could I get the financial statements for General Electric?,shows_info
Let's find out what the P/E ratio is for Bank of America.,shows_info
Any reports on the holdings within the QQQ ETF?,shows_info
"Has Google's parent company, Alphabet, ever paid a dividend?",shows_info
"The day's closing price for the Nasdaq Composite, please.",shows_info
I'd like to see the current trading volume for United Airlines.,shows_info
What can you tell me about the Vanguard Information Technology ETF?,shows_info
Tell me more about the assets under management for BlackRock.,shows_info
Who is the current chairperson of the Federal Reserve?,shows_info
The all-time high price for Ethereum would be interesting.,shows_info
Look up the current yield for a 10-year Treasury note.,shows_info
Present the historical volatility for the SPY.,shows_info
Any news on a potential stock split for NVIDIA?,shows_info
I am searching for the key metrics of an energy ETF like XLE.,shows_info
Could you locate the most recent earnings call transcript for Meta?,shows_info
The history of dividend payments from 3M.,shows_info
What's the price-to-book ratio for JPMorgan Chase?,shows_info
List for me the top 5 holdings in the ARKK innovation ETF.,shows_info
When was the last time Amazon's stock split?,shows_info
Get me a list of all companies in the Dow Jones Industrial Average.,shows_info
A view of the put/call ratio for Tesla options.,shows_info
Find out the number of employees at Microsoft.,shows_info
Could you check the latest insider trades for Caterpillar?,shows_info
Let me check the revenue growth for Salesforce last quarter.,shows_info
The cash on hand for Apple's balance sheet is what I need.,shows_info
What were the results of the last Federal Reserve meeting?,shows_info
Present a candlestick chart for Bitcoin for the last month.,shows_info
Find an explanation of what a 'moving average' is.,shows_info
What is the total market value of all cryptocurrencies?,shows_info
Any updates on the global supply chain situation?,shows_info
Could you pull up the stock chart for General Dynamics?,shows_info
The main business segments of Johnson & Johnson are?,shows_info
Who founded Netflix?,shows_info
Details about the IPO of Rivian Automotive.,shows_info
How has the price of silver trended this year?,shows_info
Show me a list of upcoming IPOs for this quarter.,shows_info
The return on equity for Home Depot last year.,shows_info
I would like to know the CEO of Advanced Micro Devices (AMD).,shows_info
Find the dividend yield of AT&T please.,shows_info
Can I see the price-to-sales ratio for Amazon?,shows_info
Looking up the historical performance of value stocks.,shows_info
What has been the performance of the Nikkei 225 index lately?,shows_info
A quick check on the financial health of Starbucks.,shows_info
Has the VIX index been high or low recently?,shows_info
Show me all the information you have on Berkshire Hathaway Class A shares.,shows_info
Just get me the ticker for The Home Depot.,shows_info
Provide the free cash flow for Microsoft for the last fiscal year.,shows_info
Could you outline the main business lines of American Express?,shows_info
Please figure out my portfolio's gain since the start of the year.,calculate
"My initial investment of $25,000 is now $32,000, what's the ROI?",calculate
Working out the total value of 200 AMZN shares plus 500 MSFT shares.,calculate
"Run the numbers for a 7% loss on a $150,000 investment.",calculate
"Determine my net profit if I sold 100 shares of TSLA at $250, bought at $180.",calculate
"What would $1,000 become in 20 years with an 8% annual compounded return?",calculate
"How many shares of Pfizer (PFE) can be purchased with $2,000?",calculate
"A stock drops from $60 to $48, what is the percentage decrease?",calculate
Just compute the dividend yield for a stock priced at $75 paying $3 annually.,calculate
"If I invest $300 a month for 15 years, what's the potential future value?",calculate
Can you compute the 100-day simple moving average for the Nasdaq 100?,calculate
"The tax owed on a $5,000 short-term capital gain in a 24% bracket.",calculate
Tell me the cost to purchase 80 shares of GOOG at its current price.,calculate
Calculate the Sharpe ratio for an investment with 12% return and 15% volatility.,calculate
What is my average cost per share after buying 20 at $150 and 30 at $160?,calculate
Find the year-to-date percentage change for the S&P 500.,calculate
"If a company earns $5 per share and the stock is $100, what is the P/E ratio?",calculate
"My 401k grew by $12,000 this year, what's that as a percentage?",calculate
"The impact of a 0.50% expense ratio on a $50,000 investment over 20 years.",calculate
Show me the math on how much a 2-for-1 stock split changes the price.,calculate
"Tell me the breakeven price for a call option with a $100 strike, bought for $5.",calculate
What does my portfolio look like after a 3% market drop?,calculate
"A bond has a face value of $1,000 and a 5% coupon, what's the annual payment?",calculate
Find the total commission paid after 25 trades at $1.99 each.,calculate
Figure out the market capitalization if there are 500 million shares at $40 each.,calculate
Work out the total profit from shorting 200 shares at $50 and covering at $35.,calculate
How much is a 12% tip on a $85 bill?,calculate
"I have 10 AAPL, 30 T, and 15 F; what's the total value?",calculate
My unrealized gain on my GOOGL position needs to be calculated.,calculate
The price change for gold today in dollar terms?,calculate
Can we determine the book value per share for Citigroup?,calculate
How do you find the free cash flow yield for a company?,calculate
"A stock's price increased by $12, which is an 8% gain. What was the original price?",calculate
Let's find the weighted average of my portfolio's beta.,calculate
"What is the gain on an investment of $8,000 that returned 15%?",calculate
"If my income is $80,000, how much is my 4% contribution to my 401k?",calculate
My brokerage account balance needs to be totaled.,calculate
The loss from buying PTON at $30 and selling at $5 for 100 shares.,calculate
Can we work out the yield to maturity for this bond I'm looking at?,calculate
Figure the required rate of return to double an investment in 7 years.,calculate
The total amount I would get if I sold all my 50 shares of Meta now.,calculate
"How many more dollars do I need to get my investment to $100,000?",calculate
Show me how to work out a company's dividend payout ratio.,calculate
"A stock pays a quarterly dividend of $0.50, what's the annual dividend?",calculate
Let me see the calculation for return on assets (ROA).,calculate
"What amount of shares did I get buying $5,000 worth of VTI at $220?",calculate
My stock option grants' total value at today's price.,calculate
Find the blended expense ratio for a portfolio with 3 different ETFs.,calculate
Work out the dollar amount of a 20% correction on the Nasdaq.,calculate
A portfolio that is 70% stocks and 30% bonds did what last year?,calculate
"Just how much would my investment be if I added another $10,000?",calculate
The growth of my emergency fund over the past 3 years needs to be figured out.,calculate
"How many dollars is a 50 basis point increase on a $1,000 bond?",calculate
"A house was bought for $300k and sold for $450k, what's the gross profit?",calculate
The final balance of a savings account with a 2% annual interest rate.,calculate
Show me what my investment would be worth if it gained 1% tomorrow.,calculate
"If my salary is $95,000, what is my bi-weekly paycheck amount before taxes?",calculate
The dollar difference between MSFT's high and low for the week.,calculate
What is the result of applying a 10% gain to my current savings?,calculate
"How much do I have left if I spend $150 from a $1,000 account?",calculate
Just what is the new price of a $90 stock after a 3-for-1 split?,calculate
My cost basis for 100 shares of an ETF bought at three different prices.,calculate
I need to know the after-tax return of a municipal bond yielding 3%.,calculate
The sum of all dividends received this calendar year.,calculate
Find the cash flow from operations from this financial statement.,calculate
What's my net worth if I subtract my liabilities from my assets?,calculate
Let me understand the math for a debt-to-income ratio.,calculate
"I sold an asset for $10k that I bought for $4k, what are the capital gains?",calculate
"A property generates $2,000 in monthly rent, what's the annual income?",calculate
"What is the effect on my taxes from a $3,000 capital loss?",calculate
The value of 1 bitcoin if it goes up by 5% from its current price.,calculate
My mortgage balance after making 12 monthly payments.,calculate
"A company has 1B shares and is worth $500B, what is the share price?",calculate
Figure out the present value of receiving $100 in one year.,calculate
"My car's value depreciated by 15% last year, what is it worth now?",calculate
The required investment to generate $500 of monthly dividend income.,calculate
"A savings goal of $10,000 requires what monthly contribution for 2 years?",calculate
My current retirement fund needs what annual return to reach $2M in 25 years?,calculate
"Just how much richer am I if my home's value increased by $50,000?",calculate
The total fees paid on my mutual funds last year needs to be computed.,calculate
