sentence,label
tell me the Bollinger Bands of Amazon.,stock
can you display the EMA of Google.,stock
give me Apple's EMA.,stock
compare Microsoft's Ichimoku Cloud.,stock
compare the EMA of Intel.,stock
give me Intel's RSI.,stock
analyze the Bollinger Bands of Netflix.,stock
analyze the MACD of Tesla.,stock
show me Microsoft's SMA.,stock
compare the ADX of Tesla.,stock
can you display Tesla's Bollinger Bands.,stock
can you display Apple's Bollinger Bands.,stock
show me the Bollinger Bands of Netflix.,stock
show me Intel's ADX.,stock
can you display the moving average of AMD.,stock
analyze Tesla's Bollinger Bands.,stock
show me Tesla's Bollinger Bands.,stock
analyze Meta's SMA.,stock
compare the ADX of Intel.,stock
can you display the SMA of Apple.,stock
what is Google's MACD.,stock
can you display the MACD of Microsoft.,stock
show me the MACD of Microsoft.,stock
analyze Nvidia's SMA.,stock
can you display the RSI of Amazon.,stock
can you display the Bollinger Bands of Amazon.,stock
tell me the MACD of Microsoft.,stock
show me Google's SMA.,stock
can you display Microsoft's SMA.,stock
can you display the ADX of Tesla.,stock
tell me the MACD of Netflix.,stock
can you display the Ichimoku Cloud of Apple.,stock
what is the RSI of AMD.,stock
can you display the Ichimoku Cloud of Google.,stock
give me the RSI of Apple.,stock
can you display the MACD of Meta.,stock
tell me the SMA of Meta.,stock
tell me AMD's MACD.,stock
show me Nvidia's Ichimoku Cloud.,stock
show me the Bollinger Bands of Amazon.,stock
what is Apple's Ichimoku Cloud.,stock
tell me the EMA of Google.,stock
what is the MACD of Apple.,stock
give me the SMA of Meta.,stock
show me the moving average of Nvidia.,stock
what is the Ichimoku Cloud of Meta.,stock
show me Microsoft's Ichimoku Cloud.,stock
compare the MACD of Microsoft.,stock
compare Tesla's moving average.,stock
analyze Netflix's Ichimoku Cloud.,stock
analyze the RSI of Google.,stock
show me Amazon's moving average.,stock
compare the MACD of Netflix.,stock
what is Google's EMA.,stock
tell me the Ichimoku Cloud of AMD.,stock
can you display Netflix's SMA.,stock
what is the Bollinger Bands of Tesla.,stock
tell me the Ichimoku Cloud of Tesla.,stock
compare the ADX of Google.,stock
what is the MACD of AMD.,stock
can you display Tesla's moving average.,stock
How to cook burger?,nonstock
show me the ADX of Amazon.,stock
analyze Amazon's ADX.,stock
what is the EMA of Apple.,stock
give me Amazon's Bollinger Bands.,stock
what is Amazon's MACD.,stock
give me the moving average of Meta.,stock
show me the MACD of Meta.,stock
show me Netflix's SMA.,stock
what is Meta's ADX.,stock
can you display the moving average of Netflix.,stock
can you display the SMA of Amazon.,stock
what is the MACD of Microsoft.,stock
compare the ADX of AMD.,stock
show me Amazon's ADX.,stock
can you display the ADX of Google.,stock
analyze Meta's RSI.,stock
compare Nvidia's EMA.,stock
show me Nvidia's moving average.,stock
give me Intel's moving average.,stock
analyze Amazon's Bollinger Bands.,stock
can you display the moving average of Intel.,stock
tell me AMD's Ichimoku Cloud.,stock
show me Nvidia's MACD.,stock
can you display the ADX of Amazon.,stock
analyze the SMA of Meta.,stock
analyze the Bollinger Bands of Tesla.,stock
what is the EMA of Microsoft.,stock
analyze the Bollinger Bands of Apple.,stock
compare AMD's Ichimoku Cloud.,stock
what is Intel's MACD.,stock
tell me Apple's MACD.,stock
show me AMD's MACD.,stock
analyze Intel's SMA.,stock
show me Tesla's EMA.,stock
analyze the RSI of Tesla.,stock
show me Meta's RSI.,stock
give me the Bollinger Bands of Microsoft.,stock
give me the RSI of Netflix.,stock
analyze Amazon's Ichimoku Cloud.,stock
show me the EMA of Apple.,stock
analyze Apple's SMA.,stock
compare Amazon's RSI.,stock
tell me Apple's Bollinger Bands.,stock
show me the Ichimoku Cloud of Netflix.,stock
tell me AMD's ADX.,stock
give me the SMA of Intel.,stock
give me Apple's ADX.,stock
compare the RSI of Apple.,stock
can you display the RSI of Microsoft.,stock
give me the MACD of Google.,stock
what is the MACD of Meta.,stock
analyze the MACD of Amazon.,stock
analyze the EMA of Nvidia.,stock
give me the EMA of Google.,stock
show me the RSI of Netflix.,stock
tell me Meta's MACD.,stock
can you display Tesla's RSI.,stock
show me Intel's RSI.,stock
analyze the Bollinger Bands of Amazon.,stock
compare Meta's Ichimoku Cloud.,stock
what is the ADX of Meta.,stock
give me Nvidia's SMA.,stock
give me Amazon's Ichimoku Cloud.,stock
compare the RSI of Nvidia.,stock
show me the Ichimoku Cloud of Intel.,stock
analyze the ADX of Amazon.,stock
compare Amazon's EMA.,stock
analyze Amazon's moving average.,stock
can you display Google's Ichimoku Cloud.,stock
tell me AMD's RSI.,stock
tell me the Bollinger Bands of Google.,stock
compare the MACD of Nvidia.,stock
tell me the Ichimoku Cloud of Apple.,stock
analyze AMD's MACD.,stock
tell me Meta's moving average.,stock
can you display Amazon's MACD.,stock
analyze Microsoft's moving average.,stock
compare Meta's moving average.,stock
compare the ADX of Amazon.,stock
can you display the ADX of Microsoft.,stock
tell me the SMA of Netflix.,stock
tell me the ADX of Microsoft.,stock
show me Amazon's Bollinger Bands.,stock
show me the moving average of Microsoft.,stock
tell me Meta's Bollinger Bands.,stock
what is Netflix's SMA.,stock
what is Google's ADX.,stock
tell me Apple's SMA.,stock
analyze Tesla's moving average.,stock
what is Tesla's Ichimoku Cloud.,stock
analyze the ADX of AMD.,stock
what is the Ichimoku Cloud of Apple.,stock
tell me AMD's EMA.,stock
analyze the Bollinger Bands of Intel.,stock
show me the EMA of Tesla.,stock
analyze AMD's moving average.,stock
show me the ADX of Apple.,stock
can you display the EMA of Microsoft.,stock
show me Tesla's moving average.,stock
can you display Meta's RSI.,stock
can you display Netflix's RSI.,stock
give me Tesla's Bollinger Bands.,stock
tell me Nvidia's Ichimoku Cloud.,stock
analyze the SMA of Apple.,stock
show me Netflix's ADX.,stock
compare the Ichimoku Cloud of Intel.,stock
compare AMD's RSI.,stock
tell me the EMA of Apple.,stock
tell me Netflix's SMA.,stock
what is the ADX of Microsoft.,stock
analyze the MACD of Apple.,stock
tell me the moving average of Amazon.,stock
can you display the MACD of AMD.,stock
what is the RSI of Tesla.,stock
show me Netflix's RSI.,stock
tell me Microsoft's ADX.,stock
tell me Google's Ichimoku Cloud.,stock
show me Nvidia's RSI.,stock
show me the RSI of Amazon.,stock
give me the Ichimoku Cloud of AMD.,stock
show me the moving average of Tesla.,stock
show me the Bollinger Bands of AMD.,stock
give me the Ichimoku Cloud of Nvidia.,stock
compare Tesla's Ichimoku Cloud.,stock
show me the MACD of Intel.,stock
can you display Intel's ADX.,stock
can you display AMD's moving average.,stock
analyze the EMA of Google.,stock
what is Amazon's ADX.,stock
analyze the RSI of Netflix.,stock
compare Microsoft's MACD.,stock
compare Microsoft's moving average.,stock
can you display Intel's MACD.,stock
what is Nvidia's EMA.,stock
analyze the ADX of Netflix.,stock
compare the SMA of Tesla.,stock
what is the moving average of Nvidia.,stock
can you display the SMA of Meta.,stock
tell me Microsoft's Ichimoku Cloud.,stock
tell me the EMA of Meta.,stock
can you display the Bollinger Bands of Google.,stock
compare Intel's RSI.,stock
what is Intel's EMA.,stock
analyze Apple's moving average.,stock
can you display Amazon's SMA.,stock
compare the MACD of Intel.,stock
show me the EMA of Nvidia.,stock
analyze Nvidia's Bollinger Bands.,stock
analyze the Ichimoku Cloud of Nvidia.,stock
give me the Bollinger Bands of Netflix.,stock
analyze the EMA of Apple.,stock
give me the EMA of Amazon.,stock
show me the SMA of Netflix.,stock
tell me the SMA of Nvidia.,stock
compare Nvidia's Bollinger Bands.,stock
analyze the EMA of Tesla.,stock
give me the ADX of Tesla.,stock
analyze Netflix's MACD.,stock
what is the ADX of Tesla.,stock
can you display the EMA of Tesla.,stock
compare the moving average of Meta.,stock
can you display the RSI of Tesla.,stock
show me the moving average of Google.,stock
give me the MACD of Intel.,stock
can you display Nvidia's EMA.,stock
tell me the ADX of Apple.,stock
what is Amazon's RSI.,stock
what is Nvidia's moving average.,stock
analyze the SMA of Tesla.,stock
compare the RSI of Microsoft.,stock
give me Microsoft's Ichimoku Cloud.,stock
tell me the SMA of Apple.,stock
analyze Nvidia's RSI.,stock
give me the SMA of Amazon.,stock
show me the ADX of Netflix.,stock
can you display Netflix's Ichimoku Cloud.,stock
show me the Ichimoku Cloud of Google.,stock
tell me AMD's moving average.,stock
can you display Apple's ADX.,stock
tell me the Bollinger Bands of Tesla.,stock
can you display the EMA of Meta.,stock
give me the Bollinger Bands of Google.,stock
analyze the Ichimoku Cloud of Tesla.,stock
give me Apple's MACD.,stock
give me Tesla's EMA.,stock
what is the ADX of Nvidia.,stock
What's the weather in Tokyo today?,nonstock
what is Google's Bollinger Bands.,stock
can you display the moving average of Google.,stock
what is AMD's Bollinger Bands.,stock
analyze the Ichimoku Cloud of Amazon.,stock
give me the ADX of Apple.,stock
analyze the Bollinger Bands of Microsoft.,stock
show me the RSI of Intel.,stock
show me Amazon's RSI.,stock
analyze Meta's moving average.,stock
give me the ADX of Google.,stock
give me the Ichimoku Cloud of Netflix.,stock
what is Microsoft's Bollinger Bands.,stock
show me Meta's moving average.,stock
show me the EMA of Google.,stock
what is the MACD of Intel.,stock
what is the SMA of Amazon.,stock
show me the Bollinger Bands of Microsoft.,stock
what is the RSI of Microsoft.,stock
can you display AMD's ADX.,stock
can you display the moving average of Nvidia.,stock
give me AMD's Ichimoku Cloud.,stock
compare Nvidia's MACD.,stock
give me the EMA of Netflix.,stock
compare the Ichimoku Cloud of Google.,stock
compare Tesla's Bollinger Bands.,stock
compare the SMA of Microsoft.,stock
compare Meta's EMA.,stock
give me Microsoft's Bollinger Bands.,stock
show me the EMA of Netflix.,stock
compare the MACD of Apple.,stock
can you display Meta's Ichimoku Cloud.,stock
compare the RSI of Meta.,stock
show me Apple's Bollinger Bands.,stock
compare the MACD of Tesla.,stock
can you display Meta's EMA.,stock
tell me Google's EMA.,stock
tell me Tesla's SMA.,stock
analyze Google's SMA.,stock
can you display Tesla's SMA.,stock
tell me the Bollinger Bands of Nvidia.,stock
analyze Tesla's SMA.,stock
give me Netflix's EMA.,stock
show me the Bollinger Bands of Nvidia.,stock
what is Apple's RSI.,stock
what is AMD's RSI.,stock
can you display Meta's moving average.,stock
compare Meta's RSI.,stock
what is the moving average of AMD.,stock
can you display the ADX of Apple.,stock
what is Intel's moving average.,stock
tell me the RSI of Apple.,stock
show me the MACD of Google.,stock
tell me Tesla's MACD.,stock
tell me the MACD of Amazon.,stock
show me the Bollinger Bands of Tesla.,stock
give me Amazon's SMA.,stock
what is Google's RSI.,stock
tell me Amazon's Ichimoku Cloud.,stock
analyze the SMA of Nvidia.,stock
analyze AMD's Bollinger Bands.,stock
show me the MACD of AMD.,stock
show me Google's Bollinger Bands.,stock
tell me the ADX of Nvidia.,stock
what is Microsoft's Ichimoku Cloud.,stock
analyze the RSI of Amazon.,stock
Tell me how to play football.,nonstock
give me the RSI of AMD.,stock
what is Tesla's SMA.,stock
analyze the SMA of Google.,stock
compare Intel's SMA.,stock
analyze Google's EMA.,stock
what is the RSI of Nvidia.,stock
tell me Microsoft's Bollinger Bands.,stock
Tell me how to go hiking.,nonstock
can you display the MACD of Nvidia.,stock
give me AMD's SMA.,stock
what is the Ichimoku Cloud of AMD.,stock
tell me Netflix's ADX.,stock
can you display the Ichimoku Cloud of AMD.,stock
what is AMD's moving average.,stock
tell me the ADX of Tesla.,stock
can you display the Bollinger Bands of Microsoft.,stock
can you display the Ichimoku Cloud of Tesla.,stock
analyze Microsoft's MACD.,stock
tell me Meta's SMA.,stock
show me the MACD of Netflix.,stock
give me Nvidia's Ichimoku Cloud.,stock
compare the moving average of Intel.,stock
analyze the SMA of AMD.,stock
what is the EMA of Intel.,stock
give me the RSI of Meta.,stock
analyze the MACD of Netflix.,stock
what is the SMA of Microsoft.,stock
tell me the moving average of Meta.,stock
tell me the EMA of Amazon.,stock
what is AMD's SMA.,stock
compare Amazon's moving average.,stock
analyze the ADX of Microsoft.,stock
show me Meta's Ichimoku Cloud.,stock
tell me Intel's ADX.,stock
tell me the RSI of AMD.,stock
give me the RSI of Amazon.,stock
show me the Bollinger Bands of Apple.,stock
tell me the MACD of Meta.,stock
give me Google's EMA.,stock
analyze Amazon's SMA.,stock
give me the SMA of Tesla.,stock
can you display Netflix's EMA.,stock
show me the SMA of Google.,stock
compare the MACD of Meta.,stock
analyze Meta's Ichimoku Cloud.,stock
show me Meta's Bollinger Bands.,stock
compare Nvidia's ADX.,stock
give me the moving average of Intel.,stock
compare Amazon's Bollinger Bands.,stock
what is the Ichimoku Cloud of Microsoft.,stock
give me the SMA of Nvidia.,stock
compare Google's Bollinger Bands.,stock
give me the RSI of Intel.,stock
tell me the moving average of Apple.,stock
can you display AMD's SMA.,stock
compare Intel's Ichimoku Cloud.,stock
can you display Microsoft's ADX.,stock
give me the SMA of Netflix.,stock
show me Amazon's EMA.,stock
analyze Microsoft's Ichimoku Cloud.,stock
compare Apple's moving average.,stock
what is the Bollinger Bands of Google.,stock
compare the Ichimoku Cloud of Nvidia.,stock
show me Google's RSI.,stock
can you display Apple's MACD.,stock
tell me Amazon's SMA.,stock
can you display Amazon's Bollinger Bands.,stock
give me the moving average of Google.,stock
analyze Tesla's RSI.,stock
give me Intel's Ichimoku Cloud.,stock
tell me Netflix's RSI.,stock
give me Nvidia's moving average.,stock
can you display Nvidia's Bollinger Bands.,stock
what is the SMA of Tesla.,stock
show me the SMA of Microsoft.,stock
compare the SMA of Nvidia.,stock
show me the moving average of Amazon.,stock
analyze Netflix's SMA.,stock
compare the Bollinger Bands of Tesla.,stock
what is the ADX of Intel.,stock
compare the moving average of Netflix.,stock
what is the moving average of Google.,stock
tell me Tesla's Ichimoku Cloud.,stock
show me AMD's Bollinger Bands.,stock
compare the EMA of Tesla.,stock
give me Tesla's ADX.,stock
what is Netflix's moving average.,stock
give me Apple's SMA.,stock
can you display the MACD of Netflix.,stock
what is the moving average of Netflix.,stock
give me Nvidia's MACD.,stock
can you display the Ichimoku Cloud of Nvidia.,stock
tell me the RSI of Amazon.,stock
show me the Ichimoku Cloud of Meta.,stock
compare Tesla's RSI.,stock
what is Meta's Ichimoku Cloud.,stock
what is the Ichimoku Cloud of Tesla.,stock
give me the Bollinger Bands of Amazon.,stock
what is the Ichimoku Cloud of Intel.,stock
can you display Amazon's Ichimoku Cloud.,stock
compare the moving average of Nvidia.,stock
compare the EMA of AMD.,stock
can you display the SMA of Google.,stock
show me the RSI of AMD.,stock
analyze the MACD of Nvidia.,stock
show me Apple's RSI.,stock
compare the Ichimoku Cloud of Apple.,stock
show me the SMA of Apple.,stock
tell me the Ichimoku Cloud of Meta.,stock
tell me the ADX of Google.,stock
analyze the moving average of Google.,stock
give me the EMA of Apple.,stock
tell me the moving average of Netflix.,stock
what is Nvidia's ADX.,stock
can you display the RSI of Google.,stock
compare Google's moving average.,stock
can you display the Bollinger Bands of Nvidia.,stock
can you display the ADX of Nvidia.,stock
analyze the Bollinger Bands of Meta.,stock
show me the ADX of Nvidia.,stock
What's the weather in Seoul today?,nonstock
give me Microsoft's MACD.,stock
tell me the Ichimoku Cloud of Netflix.,stock
can you display Nvidia's SMA.,stock
give me the MACD of Tesla.,stock
analyze the ADX of Tesla.,stock
tell me the EMA of Tesla.,stock
tell me Google's MACD.,stock
compare AMD's MACD.,stock
analyze the moving average of AMD.,stock
can you display the SMA of Netflix.,stock
what is Google's moving average.,stock
can you display the RSI of Meta.,stock
tell me the ADX of AMD.,stock
what is Intel's RSI.,stock
compare the EMA of Microsoft.,stock
show me the moving average of Intel.,stock
can you display Intel's SMA.,stock
analyze Netflix's moving average.,stock
compare Intel's moving average.,stock
tell me the MACD of Intel.,stock
what is the moving average of Apple.,stock
give me the EMA of Meta.,stock
give me the SMA of Google.,stock
what is Tesla's moving average.,stock
tell me Netflix's moving average.,stock
analyze Apple's ADX.,stock
analyze the SMA of Microsoft.,stock
analyze the RSI of Intel.,stock
tell me Microsoft's SMA.,stock
tell me the RSI of Meta.,stock
tell me the Bollinger Bands of Netflix.,stock
What's the weather in Hanoi today?,nonstock
can you display the SMA of Microsoft.,stock
show me AMD's EMA.,stock
analyze Tesla's EMA.,stock
compare Google's EMA.,stock
give me Meta's moving average.,stock
tell me Netflix's EMA.,stock
show me Google's moving average.,stock
show me Apple's MACD.,stock
tell me Nvidia's EMA.,stock
analyze the moving average of Microsoft.,stock
give me Intel's EMA.,stock
give me the ADX of AMD.,stock
How to cook chicken curry?,nonstock
show me the moving average of Netflix.,stock
what is the Bollinger Bands of Meta.,stock
show me Google's Ichimoku Cloud.,stock
can you display Meta's ADX.,stock
can you display AMD's Ichimoku Cloud.,stock
analyze Intel's moving average.,stock
what is AMD's ADX.,stock
analyze the moving average of Nvidia.,stock
analyze the EMA of Intel.,stock
can you display Nvidia's Ichimoku Cloud.,stock
give me the EMA of Microsoft.,stock
what is the SMA of Netflix.,stock
compare the Bollinger Bands of Intel.,stock
tell me Microsoft's MACD.,stock
compare Tesla's EMA.,stock
give me AMD's Bollinger Bands.,stock
can you display Netflix's MACD.,stock
Tell me how to cook dinner.,nonstock
give me the MACD of Apple.,stock
what is the Ichimoku Cloud of Nvidia.,stock
what is Amazon's Bollinger Bands.,stock
can you display Amazon's EMA.,stock
tell me the Ichimoku Cloud of Google.,stock
can you display Intel's moving average.,stock
what is Microsoft's MACD.,stock
can you display Apple's EMA.,stock
what is the EMA of Meta.,stock
what is the MACD of Amazon.,stock
show me Netflix's moving average.,stock
give me Nvidia's Bollinger Bands.,stock
analyze AMD's Ichimoku Cloud.,stock
give me the Ichimoku Cloud of Microsoft.,stock
analyze Amazon's MACD.,stock
analyze Microsoft's RSI.,stock
give me the EMA of Nvidia.,stock
what is Amazon's EMA.,stock
what is the ADX of AMD.,stock
give me Apple's Bollinger Bands.,stock
what is Meta's SMA.,stock
tell me Amazon's Bollinger Bands.,stock
give me the SMA of Apple.,stock
can you display the EMA of Apple.,stock
Tell me how to watch a movie.,nonstock
can you display the EMA of Amazon.,stock
tell me Apple's ADX.,stock
give me the ADX of Microsoft.,stock
analyze Google's moving average.,stock
compare Netflix's Ichimoku Cloud.,stock
tell me the SMA of Amazon.,stock
analyze the Ichimoku Cloud of Intel.,stock
compare the SMA of AMD.,stock
compare the Bollinger Bands of Meta.,stock
give me Tesla's RSI.,stock
give me the moving average of Tesla.,stock
show me Netflix's EMA.,stock
compare Nvidia's Ichimoku Cloud.,stock
give me Netflix's MACD.,stock
what is Intel's Bollinger Bands.,stock
show me the ADX of Microsoft.,stock
tell me the EMA of Netflix.,stock
what is Microsoft's moving average.,stock
show me the EMA of Microsoft.,stock
give me the EMA of AMD.,stock
compare AMD's ADX.,stock
show me Intel's Ichimoku Cloud.,stock
give me Google's RSI.,stock
compare Microsoft's SMA.,stock
show me Microsoft's ADX.,stock
analyze Apple's EMA.,stock
compare Amazon's Ichimoku Cloud.,stock
what is the MACD of Nvidia.,stock
show me Amazon's MACD.,stock
compare the EMA of Meta.,stock
analyze the Ichimoku Cloud of Apple.,stock
compare AMD's SMA.,stock
what is Tesla's EMA.,stock
compare Netflix's moving average.,stock
can you display AMD's MACD.,stock
give me Amazon's ADX.,stock
can you display Microsoft's RSI.,stock
show me AMD's RSI.,stock
show me Amazon's Ichimoku Cloud.,stock
tell me the moving average of AMD.,stock
tell me Meta's Ichimoku Cloud.,stock
give me Meta's MACD.,stock
show me Apple's SMA.,stock
what is the moving average of Intel.,stock
show me the ADX of Google.,stock
analyze Amazon's EMA.,stock
compare the SMA of Meta.,stock
analyze AMD's EMA.,stock
analyze the SMA of Netflix.,stock
compare Apple's Bollinger Bands.,stock
give me Nvidia's EMA.,stock
show me the Ichimoku Cloud of Tesla.,stock
analyze Google's RSI.,stock
give me AMD's RSI.,stock
tell me Google's moving average.,stock
give me Meta's SMA.,stock
can you display the RSI of Apple.,stock
can you display Microsoft's MACD.,stock
What's the weather in Bangkok today?,nonstock
tell me Amazon's RSI.,stock
show me the ADX of Tesla.,stock
analyze Microsoft's ADX.,stock
can you display the Bollinger Bands of Tesla.,stock
tell me the MACD of Tesla.,stock
analyze the Bollinger Bands of AMD.,stock
can you display the Bollinger Bands of Apple.,stock
show me the RSI of Meta.,stock
give me Meta's RSI.,stock
what is Tesla's MACD.,stock
give me AMD's EMA.,stock
what is Google's SMA.,stock
tell me the SMA of Tesla.,stock
analyze Nvidia's MACD.,stock
can you display Intel's Ichimoku Cloud.,stock
give me the moving average of AMD.,stock
compare the moving average of Tesla.,stock
show me Meta's MACD.,stock
compare the RSI of Tesla.,stock
compare the SMA of Intel.,stock
show me the moving average of Meta.,stock
tell me the Ichimoku Cloud of Amazon.,stock
show me Meta's SMA.,stock
compare Intel's Bollinger Bands.,stock
tell me Nvidia's MACD.,stock
can you display the ADX of AMD.,stock
what is the MACD of Google.,stock
what is the SMA of Nvidia.,stock
analyze the Ichimoku Cloud of Google.,stock
analyze the ADX of Nvidia.,stock
compare the moving average of Microsoft.,stock
what is the Bollinger Bands of Netflix.,stock
analyze Intel's Ichimoku Cloud.,stock
tell me Google's SMA.,stock
tell me the SMA of Google.,stock
give me the MACD of Nvidia.,stock
give me Microsoft's ADX.,stock
compare Apple's SMA.,stock
tell me Intel's RSI.,stock
what is the EMA of Google.,stock
tell me the Ichimoku Cloud of Microsoft.,stock
analyze the Ichimoku Cloud of Microsoft.,stock
can you display Nvidia's MACD.,stock
can you display Apple's Ichimoku Cloud.,stock
give me the Bollinger Bands of AMD.,stock
can you display the MACD of Tesla.,stock
compare the EMA of Nvidia.,stock
can you display the Bollinger Bands of AMD.,stock
What's the weather in London today?,nonstock
tell me Amazon's MACD.,stock
give me the moving average of Microsoft.,stock
compare Apple's RSI.,stock
give me the ADX of Nvidia.,stock
tell me Intel's Ichimoku Cloud.,stock
what is Google's Ichimoku Cloud.,stock
show me Google's ADX.,stock
compare the RSI of Intel.,stock
what is the ADX of Apple.,stock
analyze the EMA of Meta.,stock
analyze the MACD of Microsoft.,stock
tell me Intel's moving average.,stock
tell me the moving average of Tesla.,stock
what is Nvidia's SMA.,stock
what is Microsoft's RSI.,stock
analyze Microsoft's EMA.,stock
give me the Ichimoku Cloud of Amazon.,stock
what is Meta's EMA.,stock
what is the RSI of Apple.,stock
can you display Apple's RSI.,stock
compare the Ichimoku Cloud of Tesla.,stock
tell me the EMA of AMD.,stock
can you display Tesla's MACD.,stock
show me the RSI of Apple.,stock
tell me Google's ADX.,stock
tell me the SMA of AMD.,stock
can you display the SMA of Tesla.,stock
what is the ADX of Amazon.,stock
show me Meta's EMA.,stock
tell me Nvidia's Bollinger Bands.,stock
give me the MACD of Microsoft.,stock
analyze Google's ADX.,stock
can you display Meta's SMA.,stock
compare Nvidia's RSI.,stock
tell me the ADX of Meta.,stock
can you display the moving average of Apple.,stock
analyze Microsoft's SMA.,stock
give me the Ichimoku Cloud of Intel.,stock
analyze Tesla's ADX.,stock
give me Google's Ichimoku Cloud.,stock
tell me Meta's RSI.,stock
tell me Tesla's RSI.,stock
