text,intent
Show me the historical performance of Amazon.,shows_info
Can you show me Apple's current stock price?,shows_info
Show me Coca-Cola’s dividend yield right now.,shows_info
Give me Nvidia's stock chart for this week.,shows_info
Give me Tesla's stock chart for this week.,shows_info
How is Nvidia performing today?,shows_info
Pull up the current price of Berkshire Hathaway stock.,shows_info
What’s the 52-week high for JP Morgan?,shows_info
How did Apple close yesterday?,shows_info
I want to see the volume traded for Bank of America today.,shows_info
What's the latest news on Nvidia stock?,shows_info
I want to see the volume traded for Amazon today.,shows_info
I want to see the volume traded for ExxonMobil today.,shows_info
Show me Apple’s dividend yield right now.,shows_info
Can you show me Apple's current stock price?,shows_info
Can you show me Samsung's current stock price?,shows_info
Can you show me Netflix's current stock price?,shows_info
Show me Pepsi’s dividend yield right now.,shows_info
What's the latest news on Amazon stock?,shows_info
How is Samsung performing today?,shows_info
Give me Berkshire Hathaway's stock chart for this week.,shows_info
What’s the 52-week high for Pepsi?,shows_info
How did Berkshire Hathaway close yesterday?,shows_info
What’s the 52-week high for Apple?,shows_info
How is Berkshire Hathaway performing today?,shows_info
Show me Ford’s dividend yield right now.,shows_info
How did Netflix close yesterday?,shows_info
How is Ford performing today?,shows_info
Pull up the current price of Tesla stock.,shows_info
Can you show me Berkshire Hathaway's current stock price?,shows_info
I want to see the volume traded for Amazon today.,shows_info
What’s the 52-week high for Meta?,shows_info
What's the latest news on Meta stock?,shows_info
What’s the 52-week high for Tesla?,shows_info
Show me Tesla’s dividend yield right now.,shows_info
How did Bank of America close yesterday?,shows_info
How is Bank of America performing today?,shows_info
Show me Netflix’s dividend yield right now.,shows_info
I want to see the volume traded for Ford today.,shows_info
I want to see the volume traded for Apple today.,shows_info
Show me the historical performance of Google.,shows_info
Show me Netflix’s dividend yield right now.,shows_info
Can you show me Netflix's current stock price?,shows_info
How is Google performing today?,shows_info
Pull up the current price of Apple stock.,shows_info
Can you show me Pepsi's current stock price?,shows_info
Show me Coca-Cola’s dividend yield right now.,shows_info
I want to see the volume traded for Bank of America today.,shows_info
What's the latest news on Samsung stock?,shows_info
Can you show me Apple's current stock price?,shows_info
Show me the historical performance of Samsung.,shows_info
Show me AMD’s dividend yield right now.,shows_info
Give me Intel's stock chart for this week.,shows_info
Pull up the current price of Nvidia stock.,shows_info
Give me Apple's stock chart for this week.,shows_info
How is Microsoft performing today?,shows_info
Show me the historical performance of Coca-Cola.,shows_info
How is Pepsi performing today?,shows_info
Can you show me JP Morgan's current stock price?,shows_info
Show me the historical performance of Berkshire Hathaway.,shows_info
What’s the 52-week high for Intel?,shows_info
What’s the 52-week high for Nvidia?,shows_info
Give me Alibaba's stock chart for this week.,shows_info
How is Apple performing today?,shows_info
What’s the 52-week high for AMD?,shows_info
How did Apple close yesterday?,shows_info
What's the latest news on Pepsi stock?,shows_info
Show me the historical performance of Toyota.,shows_info
Give me Google's stock chart for this week.,shows_info
Can you show me Bank of America's current stock price?,shows_info
What's the latest news on AMD stock?,shows_info
Give me Bank of America's stock chart for this week.,shows_info
What’s the 52-week high for ExxonMobil?,shows_info
I want to see the volume traded for Bank of America today.,shows_info
Pull up the current price of Ford stock.,shows_info
How did Ford close yesterday?,shows_info
Give me Google's stock chart for this week.,shows_info
Give me Tesla's stock chart for this week.,shows_info
I want to see the volume traded for ExxonMobil today.,shows_info
Show me Berkshire Hathaway’s dividend yield right now.,shows_info
Can you show me Apple's current stock price?,shows_info
I want to see the volume traded for Coca-Cola today.,shows_info
I want to see the volume traded for Coca-Cola today.,shows_info
What’s the 52-week high for Google?,shows_info
Pull up the current price of Toyota stock.,shows_info
I want to see the volume traded for AMD today.,shows_info
How is Netflix performing today?,shows_info
Show me Meta’s dividend yield right now.,shows_info
How did Tesla close yesterday?,shows_info
I want to see the volume traded for Meta today.,shows_info
What’s the 52-week high for ExxonMobil?,shows_info
Show me Apple’s dividend yield right now.,shows_info
Show me JP Morgan’s dividend yield right now.,shows_info
Give me Berkshire Hathaway's stock chart for this week.,shows_info
Show me JP Morgan’s dividend yield right now.,shows_info
Show me the historical performance of Nvidia.,shows_info
Show me Ford’s dividend yield right now.,shows_info
What's the latest news on Meta stock?,shows_info
Give me Pepsi's stock chart for this week.,shows_info
Can you show me Samsung's current stock price?,shows_info
Show me Toyota’s dividend yield right now.,shows_info
Give me Amazon's stock chart for this week.,shows_info
How is JP Morgan performing today?,shows_info
Pull up the current price of Nvidia stock.,shows_info
How is Toyota performing today?,shows_info
What’s the 52-week high for Google?,shows_info
I want to see the volume traded for Coca-Cola today.,shows_info
Show me Microsoft’s dividend yield right now.,shows_info
Can you show me Amazon's current stock price?,shows_info
How did Ford close yesterday?,shows_info
Show me Ford’s dividend yield right now.,shows_info
What’s the 52-week high for Meta?,shows_info
How did AMD close yesterday?,shows_info
Pull up the current price of Bank of America stock.,shows_info
How is Apple performing today?,shows_info
How did Amazon close yesterday?,shows_info
Pull up the current price of Pepsi stock.,shows_info
What’s the 52-week high for Bank of America?,shows_info
Pull up the current price of Bank of America stock.,shows_info
I want to see the volume traded for Netflix today.,shows_info
Show me Bank of America’s dividend yield right now.,shows_info
Show me Toyota’s dividend yield right now.,shows_info
What's the latest news on Intel stock?,shows_info
Give me Tesla's stock chart for this week.,shows_info
What's the latest news on Netflix stock?,shows_info
Give me Ford's stock chart for this week.,shows_info
Show me Alibaba’s dividend yield right now.,shows_info
What's the latest news on Samsung stock?,shows_info
I want to see the volume traded for JP Morgan today.,shows_info
What's the latest news on Intel stock?,shows_info
Show me the historical performance of Coca-Cola.,shows_info
How did Pepsi close yesterday?,shows_info
How did Toyota close yesterday?,shows_info
Can you show me Netflix's current stock price?,shows_info
Show me Alibaba’s dividend yield right now.,shows_info
Pull up the current price of Microsoft stock.,shows_info
I want to see the volume traded for Tesla today.,shows_info
How is Alibaba performing today?,shows_info
I want to see the volume traded for AMD today.,shows_info
How is Apple performing today?,shows_info
Pull up the current price of Apple stock.,shows_info
What's the latest news on JP Morgan stock?,shows_info
How is Google performing today?,shows_info
Show me the historical performance of Intel.,shows_info
What’s the 52-week high for Toyota?,shows_info
I want to see the volume traded for Berkshire Hathaway today.,shows_info
Give me Intel's stock chart for this week.,shows_info
Show me the historical performance of Bank of America.,shows_info
Show me Intel’s dividend yield right now.,shows_info
How is Tesla performing today?,shows_info
Can you show me JP Morgan's current stock price?,shows_info
How is Google performing today?,shows_info
I want to see the volume traded for Apple today.,shows_info
Show me Ford’s dividend yield right now.,shows_info
Show me the historical performance of Bank of America.,shows_info
What's the latest news on Samsung stock?,shows_info
I want to see the volume traded for Intel today.,shows_info
Show me the historical performance of Tesla.,shows_info
How is Ford performing today?,shows_info
Show me Alibaba’s dividend yield right now.,shows_info
Pull up the current price of AMD stock.,shows_info
What’s the 52-week high for Coca-Cola?,shows_info
Pull up the current price of ExxonMobil stock.,shows_info
Give me Tesla's stock chart for this week.,shows_info
How did Tesla close yesterday?,shows_info
Can you show me Apple's current stock price?,shows_info
Show me the historical performance of Intel.,shows_info
Show me Nvidia’s dividend yield right now.,shows_info
Pull up the current price of Apple stock.,shows_info
Show me the historical performance of AMD.,shows_info
Show me the historical performance of Toyota.,shows_info
What's the latest news on Samsung stock?,shows_info
Pull up the current price of Meta stock.,shows_info
What’s the 52-week high for Google?,shows_info
How did Alibaba close yesterday?,shows_info
Give me Intel's stock chart for this week.,shows_info
Show me Apple’s dividend yield right now.,shows_info
How did Apple close yesterday?,shows_info
What's the latest news on Nvidia stock?,shows_info
Pull up the current price of Ford stock.,shows_info
Show me Pepsi’s dividend yield right now.,shows_info
What’s the 52-week high for Bank of America?,shows_info
Show me the historical performance of AMD.,shows_info
How did AMD close yesterday?,shows_info
Show me Apple’s dividend yield right now.,shows_info
What's the latest news on Tesla stock?,shows_info
Show me Berkshire Hathaway’s dividend yield right now.,shows_info
What's the latest news on JP Morgan stock?,shows_info
Give me Tesla's stock chart for this week.,shows_info
What’s the 52-week high for Coca-Cola?,shows_info
Show me Coca-Cola’s dividend yield right now.,shows_info
Show me Intel’s dividend yield right now.,shows_info
What's the latest news on Intel stock?,shows_info
What's the latest news on Apple stock?,shows_info
How is Microsoft performing today?,shows_info
What’s the 52-week high for AMD?,shows_info
Pull up the current price of Ford stock.,shows_info
How is ExxonMobil performing today?,shows_info
"How much tax will I pay if I sell ExxonMobil shares for $20,000?",calculate
Calculate my return on Tesla if I bought at $234 and now it's $624.,calculate
"How much would I have if I invested $10,000 in Ford 5 years ago?",calculate
"If I sell all my AMD stocks, how much will I get?",calculate
How much profit if I sell 100 shares of Meta at $873?,calculate
What's the dividend payout for my 200 shares of Berkshire Hathaway?,calculate
What's the dividend payout for my 200 shares of AMD?,calculate
Calculate my return on Netflix if I bought at $208 and now it's $773.,calculate
How many shares of Intel can I buy with $5000?,calculate
What's the dividend payout for my 200 shares of Nvidia?,calculate
"How much would I have if I invested $10,000 in Microsoft 5 years ago?",calculate
How much profit if I sell 100 shares of Microsoft at $2836?,calculate
Can you calculate the P/E ratio for Netflix?,calculate
"How much would I have if I invested $10,000 in Amazon 5 years ago?",calculate
How much profit if I sell 100 shares of Microsoft at $479?,calculate
What’s the total value of 50 Pepsi shares at current price?,calculate
What's the dividend payout for my 200 shares of JP Morgan?,calculate
What's the dividend payout for my 200 shares of Intel?,calculate
Can you calculate the P/E ratio for Ford?,calculate
"If I sell all my Pepsi stocks, how much will I get?",calculate
How much profit if I sell 100 shares of Samsung at $2732?,calculate
"If I sell all my Bank of America stocks, how much will I get?",calculate
How much profit if I sell 100 shares of Netflix at $2658?,calculate
"How much tax will I pay if I sell AMD shares for $20,000?",calculate
How many shares of Microsoft can I buy with $5000?,calculate
What is Netflix’s market cap right now?,calculate
What is JP Morgan’s market cap right now?,calculate
How many shares of JP Morgan can I buy with $5000?,calculate
How much profit if I sell 100 shares of Google at $2155?,calculate
What is Netflix’s market cap right now?,calculate
What's the dividend payout for my 200 shares of JP Morgan?,calculate
What's the dividend payout for my 200 shares of Berkshire Hathaway?,calculate
What’s the total value of 50 Amazon shares at current price?,calculate
Calculate my return on JP Morgan if I bought at $191 and now it's $443.,calculate
"How much tax will I pay if I sell Toyota shares for $20,000?",calculate
What's the dividend payout for my 200 shares of Alibaba?,calculate
"How much tax will I pay if I sell Alibaba shares for $20,000?",calculate
Calculate my return on AMD if I bought at $107 and now it's $586.,calculate
What's the dividend payout for my 200 shares of Alibaba?,calculate
What is Coca-Cola’s market cap right now?,calculate
Can you calculate the P/E ratio for Ford?,calculate
Calculate my return on Pepsi if I bought at $288 and now it's $497.,calculate
How much profit if I sell 100 shares of Pepsi at $50?,calculate
"How much tax will I pay if I sell Bank of America shares for $20,000?",calculate
What is Apple’s market cap right now?,calculate
"How much would I have if I invested $10,000 in Microsoft 5 years ago?",calculate
Calculate my return on Apple if I bought at $171 and now it's $669.,calculate
"If I sell all my Meta stocks, how much will I get?",calculate
"If I sell all my Coca-Cola stocks, how much will I get?",calculate
How much profit if I sell 100 shares of Pepsi at $2029?,calculate
What is Microsoft’s market cap right now?,calculate
Can you calculate the P/E ratio for AMD?,calculate
What's the dividend payout for my 200 shares of Pepsi?,calculate
Calculate my return on Alibaba if I bought at $333 and now it's $584.,calculate
Calculate my return on Google if I bought at $154 and now it's $464.,calculate
How many shares of Bank of America can I buy with $5000?,calculate
"If I sell all my Meta stocks, how much will I get?",calculate
Can you calculate the P/E ratio for Ford?,calculate
What is Netflix’s market cap right now?,calculate
What is Coca-Cola’s market cap right now?,calculate
Can you calculate the P/E ratio for Meta?,calculate
What's the dividend payout for my 200 shares of Netflix?,calculate
What's the dividend payout for my 200 shares of Berkshire Hathaway?,calculate
What is Meta’s market cap right now?,calculate
"If I sell all my Coca-Cola stocks, how much will I get?",calculate
"If I sell all my Tesla stocks, how much will I get?",calculate
What’s the total value of 50 Netflix shares at current price?,calculate
How many shares of Berkshire Hathaway can I buy with $5000?,calculate
How many shares of Intel can I buy with $5000?,calculate
What’s the total value of 50 JP Morgan shares at current price?,calculate
How much profit if I sell 100 shares of Apple at $2532?,calculate
What’s the total value of 50 ExxonMobil shares at current price?,calculate
What is Intel’s market cap right now?,calculate
"If I sell all my Samsung stocks, how much will I get?",calculate
How much profit if I sell 100 shares of Coca-Cola at $2916?,calculate
How much profit if I sell 100 shares of Nvidia at $3186?,calculate
Calculate my return on Google if I bought at $311 and now it's $708.,calculate
"If I sell all my Pepsi stocks, how much will I get?",calculate
What is Meta’s market cap right now?,calculate
"How much tax will I pay if I sell Google shares for $20,000?",calculate
What’s the total value of 50 Apple shares at current price?,calculate
"If I sell all my Intel stocks, how much will I get?",calculate
Calculate my return on Samsung if I bought at $74 and now it's $497.,calculate
How many shares of Pepsi can I buy with $5000?,calculate
"How much tax will I pay if I sell Meta shares for $20,000?",calculate
What's the dividend payout for my 200 shares of Coca-Cola?,calculate
Calculate my return on Ford if I bought at $176 and now it's $486.,calculate
What is Amazon’s market cap right now?,calculate
What’s the total value of 50 AMD shares at current price?,calculate
"If I sell all my Google stocks, how much will I get?",calculate
How much profit if I sell 100 shares of JP Morgan at $3780?,calculate
What is Netflix’s market cap right now?,calculate
What is Nvidia’s market cap right now?,calculate
What’s the total value of 50 Meta shares at current price?,calculate
Calculate my return on Pepsi if I bought at $100 and now it's $665.,calculate
What's the dividend payout for my 200 shares of Coca-Cola?,calculate
What’s the total value of 50 Alibaba shares at current price?,calculate
"How much tax will I pay if I sell Pepsi shares for $20,000?",calculate
"How much would I have if I invested $10,000 in Apple 5 years ago?",calculate
Can you calculate the P/E ratio for Bank of America?,calculate
"How much would I have if I invested $10,000 in Alibaba 5 years ago?",calculate
"If I sell all my Berkshire Hathaway stocks, how much will I get?",calculate
What's the dividend payout for my 200 shares of Bank of America?,calculate
What's the dividend payout for my 200 shares of Toyota?,calculate
What's the dividend payout for my 200 shares of Alibaba?,calculate
"How much tax will I pay if I sell ExxonMobil shares for $20,000?",calculate
"If I sell all my Bank of America stocks, how much will I get?",calculate
What is Samsung’s market cap right now?,calculate
"How much would I have if I invested $10,000 in Coca-Cola 5 years ago?",calculate
What is Amazon’s market cap right now?,calculate
How much profit if I sell 100 shares of Toyota at $2576?,calculate
"How much tax will I pay if I sell Berkshire Hathaway shares for $20,000?",calculate
"If I sell all my Meta stocks, how much will I get?",calculate
What's the dividend payout for my 200 shares of Amazon?,calculate
How much profit if I sell 100 shares of Netflix at $2028?,calculate
What is Berkshire Hathaway’s market cap right now?,calculate
How many shares of JP Morgan can I buy with $5000?,calculate
What is ExxonMobil’s market cap right now?,calculate
Calculate my return on Netflix if I bought at $331 and now it's $475.,calculate
"If I sell all my Amazon stocks, how much will I get?",calculate
What’s the total value of 50 Meta shares at current price?,calculate
What's the dividend payout for my 200 shares of Coca-Cola?,calculate
"How much would I have if I invested $10,000 in Tesla 5 years ago?",calculate
Can you calculate the P/E ratio for Berkshire Hathaway?,calculate
Can you calculate the P/E ratio for Tesla?,calculate
How much profit if I sell 100 shares of Alibaba at $1097?,calculate
"How much tax will I pay if I sell Amazon shares for $20,000?",calculate
How many shares of Nvidia can I buy with $5000?,calculate
"If I sell all my Coca-Cola stocks, how much will I get?",calculate
"How much would I have if I invested $10,000 in Amazon 5 years ago?",calculate
"If I sell all my Bank of America stocks, how much will I get?",calculate
